My Sweet Escape,"

Ohhh... ohhh...
Ohhh... oohh...

Let me pause and breath it in
Let me close my eyes and take it in
No photographs can capture all the
Happiness I have inside

So let me brave it through the night
All the fears we left behind
No memory can take me back to
Feeling how I feel inside

Ohhh... ohhh...
Ohhh... oohh...
With you ohh, I'm home
Oh you are my home

Let me pause and breath it in
Let me close my eyes and take it in
No photographs can capture all the
Happiness I have inside

Everything then leads to you
Let me dance around and with you soon
I love the way in perfect timing
All of my dreams coming true

Ohhh... ohhh...
Ohhh... oohh...
With you ohh, I'm home
Oh you are my home

When I see you face to face
There ain't no one else
Who could take your place
Nobody else can make me feel
The way you do
So won't you stay?

My sweet escape
(My sweet escape)
Oh won't you stay?
You've become more than a place to me
You've become my sweet escape
(My sweet escape)

You make me brave
My sweet escape
Oh won't you stay...

Ohhh... ohhh...
Ohhh... oohh...
Ohhh... oohh...
Ohhh... oohh...
Ohhh... oohh...
Ohhh... oohh...
With you ohh, I'm home
Oh you are my home
With you ohh, I'm home
Oh you are my home...
",Moira Dela Torre
Pabilin,"

Ipikit man ang mata't
Hilingin na siya ay muling
Kasama, kausap, kapiling

Kailangang tanggapin na
Wala na siya sa akin
Ngunit ito ang mga pabilin

Yakapin mo siyang mahigpit
'Pag siya ay galit
Manatili sa kanyang tabi

Hawakan ang kanyang mukha
Tignan sa mata
Ipaalalang kakampi ka niya

Sana'y gawin ang lahat
Ng 'di ko nagawa

Paki balewala
Ang mga oras na siya'y
Masungit, at ulo'y mainit

'Pag kailangan ka niya
'Wag kang mag antala siya'y
Amuhin, at iyong pakainin

Yakapin mo siyang mahigpit
'Pag siya ay galit
Manatili sa kanyang tabi

Hawakan ang kanyang mukha
Tignan sa mata
Ipaalalang kakampi ka niya

Sana'y gawin ang lahat
Ng 'di ko nagawa

Sana'y wag magpahuli
Bilang lamang ang sandali
'Di man natin gustuhin
Ang oras ay 'di sa'tin

Yakapin mo siyang mahigpit
Sa bawat sandali
Na parang 'yon na ang huli

Sabihin ang nadarama
Na mahal mo rin siya
'Wag nang intaying mawala

Lagi mo siyang pakinggan
At lagi mong kakantahan
Sana'y gawin ang lahat
Ng 'di ko nagawa
",Moira Dela Torre
Pag-Ibig Ang Piliin,"

Pareho lang tayo
Naghahanap ng kublihan kung saan tayo'y tanggap
Ang magmahal ng hindi kailangan magpanggap
Ngunit minsan nasasaktan gayong nagmamahal ka lang
Tinatakasan ang mapanghusgang mundo
Ngunit kung pag-ibig lang ang panghawakan mo

Kahit na di natin alam ang bukas
Kahit di sumikat ang araw at bumuhos ang ulan
Kahit hindi umayon ang tadhana
Isang tawag mo lang, pupuntahan
Nasaan ka man
Ganyan ang tunay na pag-ibig
'Di takot sa mundo
Ipaglalaban kita hanggang sa dulo
Pag-ibig ang pipiliin ko
Pag-ibig ang pipiliin ko

Pareho lang tayo
Naghahanap ng makakapitan
Mahal kang totoo
Walang panghuhusga at tanggap ka ng buo
Ngunit minsan nasasaktan gayong nagmamahal ka lang
Maiiwasan ba ang lupit ng mundo?
Ngunit kung pag-ibig lang ang panghawakan
Sapat na yan
Kumapit lang...

Kahit na di natin alam ang bukas
Kahit di sumikat ang araw at bumuhos ang ulan
Kahit hindi umayon ang tadhana
Isang tawag mo lang, pupuntahan
Nasaan ka man
Ganyan ang tunay na pag-ibig
'Di takot sa mundo
Ipaglalaban kita hanggang sa dulo
Pag-ibig ang pipiliin ko
Pag-ibig ang pipiliin ko
Pag-ibig ang pipiliin ko
",Moira Dela Torre
Pagitan,"

Di ko alam
San sisimulan
Kapag ba binitawan
Makakalimutan?

Sana naman
Napagbigyan
Ng kahit konting oras
Para magpaalam

Sana maintindihan

Di ko pa yata kayang
Hindi ka na makita
Pag gising sa umaga
Ikaw, kaw lang naman ang hanap
Kaw lang ang pinangarap noon
Paano na ngayon
Paano tanggaping wala ka na
Paano at saan Magsisimula?

Kung nasan ka man
Sana mapakinggan
Ang aking panalangin
Na ika'y mahagkan

Ng kahit saglit
Ng ilang sandali
O san kukuha ng lakas
Kung ikaw ang dahilan

Di ko maintindihan

Di ko pa yata kayang
Hindi ka na makita
Pag gising sa umaga
Ikaw, kaw lang naman ang hanap
Kaw lang ang pinangarap noon
Paano na ngayon
Paano tanggaping wala ka na
Paano at saan Magsisimula?

Kahit di pa yata kayang
Hindi ka na makita
Babangon sa umaga

Hindi ko pa man makuha
Mahahanap rin ang kalma
Tulad nung nandito ka pa

Hindi na pipigilan ang luha
Sa bawat oras na maisip ka
Hindi mawawalan ng pagasa
Sa pagitan ng wakas, at ng simula
",Moira Dela Torre
Pangako (Kilig Version),"

Bakit ba may lungkot sayong mga mata
Ako kaya'y di nais makapiling sinta
Di mo ba pansin ako sayo'y may pagtingin
Sana ang tinig ko'y iyong dinggin

Ako ngayo'y hindi mapalagay
Pagkat ang puso ko'y nalulumbay
Sana ay pakaingatan mo ito
At tandaan mo ang isang pangako

Pangako hindi kita iiwan
Pangako di ko pababayaan
Pangako hindi ka na mag-iisa
Pangakong magmula ngayo'y tayong dalawa
Ang magkasama

Ano itong nadarama ko
Ako kaya'y nahuhulog umiibig na sayo
Sa tuwing kasama ka'y anong ligaya
Sana sa akin ay magtiwala

Kung tunay man ang nadarama mo
Mayroon akong nais malaman mo
Ang aking puso ay iyong-iyo
Wag sanang lumimot sa pangako

Pangako hindi kita iiwan
Pangako di ko pababayaan
Pangako hindi ka na mag-iisa
Pangakong magmula ngayo'y tayong dalawa

Pangako hindi kita iiwan
Pangako di ko pababayaan
Pangako hindi ka na mag-iisa
Pangakong magmula ngayo'y tayong dalawa
Ang magkasama

Di kana magiisa...
",Moira Dela Torre
Pangako (Main Version),"

Bakit ba may lungkot sayong mga mata
Ako kaya'y di nais makapiling sinta
Di mo ba pansin ako sayo'y may pagtingin
Sana ang tinig ko'y iyong dinggin

Ako ngayo'y hindi mapalagay
Pagkat ang puso ko'y nalulumbay
Sana ay pakaingatan mo ito
At tandaan mo ang isang pangako

Pangako hindi kita iiwan
Pangako di ko pababayaan
Pangako hindi ka na mag-iisa
Pangakong magmula ngayo'y tayong dalawa
Ang magkasama

Ano itong nadarama ko
Ako kaya'y nahuhulog umiibig na sayo
Sa tuwing kasama ka'y anong ligaya
Sana sa akin ay magtiwala

Kung tunay man ang nadarama mo
Mayroon akong nais malaman mo
Ang aking puso ay iyong-iyo
Wag sanang lumimot sa pangako

Pangako hindi kita iiwan
Pangako di ko pababayaan
Pangako hindi ka na mag-iisa
Pangakong magmula ngayo'y tayong dalawa

Pangako hindi kita iiwan
Pangako di ko pababayaan
Pangako hindi ka na mag-iisa
Pangakong magmula ngayo'y tayong dalawa
Ang magkasama

Di kita iiwan...
",Moira Dela Torre
Paubaya / Hindi Tayo Pwede / Hatid,"

Pilit nating iniwasan
Ganitong mga tanungan
At kahit 'di sigurado
Tinuloy natin ang ating ugnayan
Ngayo'y naubos na'ng kwentuhan
Nagsimula nang magsisihan
Lahat ay parang lumabo
'Di alam kung sa'n tutungo
Ang sabi ko na nga ba
Dapat nung una pa lamang
'Di na umasa
'Di naniwala
Hindi tayo pwede
Pinagtagpo pero 'di tinadhana
Hindi na posible
Ang mga puso'y huwag nating pahirapan
Suko na sa laban
Hindi tayo pwede

Saan nagsimulang magbago ang lahat
Kailan nung ako'y 'di na naging sapat
Ba't 'di mo sinabi nung una pa lang
Ako ang kailangan, pero 'di ang mahal

Saan nagkulang ang aking pagmamahal
Lahat ay binigay nang mapangiti ka lang
Ba't 'di ko nakita na ayaw mo na
Ako ang kasama, pero hanap mo siya

At kung masaya ka sa piling niya
Hindi ko na pipilit pa

Ang tanging hiling ko lang sa kanya
'Wag kang paluhain at alagaan ka niya

'Di ka hahabulin
'Di ka pipigilin
Huwag mag-alala
Ihahatid kita
'Di ka hahabulin
'Di ka pipigilin
Huwag mag-alala
Ihahatid kita
'Di ka hahabulin
'Di ka pipigilin
Huwag mag-alala
Ihahatid kita
Hindi tayo pwede
Pinagtagpo pero 'di tinadhana
Hindi na posible
Ang mga puso'y huwag nating pahirapan
Suko na sa laban
Pinapaubaya
'Di ka pipigilan
Oohh, pinapaubaya ko na sa kanya
Oohh...ohh
Oohh...ohh
Hindi tayo pwede
",Moira Dela Torre
Red Flags,"

Been doing my best trying to make sense of it
How could you paint all those red flags in white just so that I won't suspect?
And though, you never showed any signs
You eyes that never lied
You said I was crazy when I asked you why
But why? Tell me I'm hard to love and then just leave me to die

You said you made a mistake but isn't a mistake
Only a mistake if it's one time
But it's again and again
Sorry, honey, but I just gotta run for my life
Wasted five years of my life
Were they worth all of your lies, oh, why?
You said you made a mistake
But there was no one else to blame
'Cause you didn't do it just one time
Or two times or three times or five times, I forget, bye bye

I was a pawn on your silly games
I fit the role you wanted me to play
You lived two lives now you're saying you've changed
How could the narrative just go both ways?
When its become as clear as night and day
But we both know you'll try to save face

You said you made a mistake but isn't a mistake
Only a mistake if it's one time
But it's again and again
Sorry, honey, but I just gotta run for my life
Wasted five years of my life
Were they worth all of your lies, oh, why?
You said you made a mistake
But there was no one else to blame
'Cause you didn't do it just one time
Or two times or three times or five times, I forget, bye bye

What is it about me that you
All feel the permission to
Hurt me the way that you do?
What did I do?

You said you made a mistake but isn't a mistake
Only a mistake if it's one time
But it's again and again
Sorry, honey, but I just gotta run for my life
Wasted five years of my life
Were they worth all of your lies, oh, why?
You said you made a mistake
But darling, that's a shame
'Cause you didn't do it just one time
Or two times or three times or five times, I forget, bye bye

Or two times or three times or five times, I forget, bye bye
",Moira Dela Torre
Rewritten Vows,"

There's a fear in my eyes when I see you
Watched it all disappear in a blink
Do you know it back then or do you chose to forget
That this was my greatest fear?
I never thought that my past could come follow
Into everything that we've been through
Now the names might've changed
But you broke me the same
The same way I had asked you not to

What we shared once is no longer here
But it's never been more clear
Our time is done, there's nothing left to do
I know God kept His promise
But I wish you did too

Oh, I wonder what went through your conscience
In all those years leaving me in the unknown
Does the rain go away or do I get used to the pain?
Should have known I was always alone

What we shared once is no longer here
But it's never been more clear
Our time is done, there's nothing left to do
I know God kept His promise
But why didn't you?

And bound that our time here has ended
And God asked me what life was with you
I will lay at His feet all of our memories
And for the moments that He got us through
Now I need to let go of you
Through the battles won and fears overcome
I'll find a faithful one
Through highs and lows, I will never be alone
'Cause I know that someday
After all of these heartbreak
I know God heard me pray
And I'll still find my way home
",Moira Dela Torre
Safe,"

Under Your grace, Your mercy amazes me
Under Your wings, Your shadow covers me
Your promise of love where my heart is safely undone

Speak to me, Lord, Your servant is listening
Over the noise, I hear You whispering
My hope has come and my heart is safely undone

I've found my fortress in You
And my soul is anchored with You
My resting place is in Your name
Forever safe

You are never far away
Always reaching out to save
My weakness covered by Your strength
And I am found forever safe
",Moira Dela Torre
Silent Night (Moira,"

Silent night, holy night
All is calm, all is bright
'Round yon virgin Mother and Child
Holy infant so tender and mild
Sleep in heavenly peace
Sleep in heavenly peace

Silent night, holy night!
Shepherds quake at the sight!
Glories stream from heaven afar
Heavenly hosts sing Al-le-lu-ia!
Christ the Savior is born!
Christ the Savior is born!

Great was that night, you were the light
The Bethlehem star shined upon you
You came on earth to save all our lives
Savior of all, we adore you
Christ the Savior is born

Silent night, holy night
Son of God, oh, love's pure light
Radiant beams from Thy holy face
With the dawn of redeeming grace
Jesus, Lord at Thy birth
Jesus, Lord at Thy birth

Jesus, Lord at Thy birth
",Moira Dela Torre
Sundo,"

Kay tagal kong sinusuyod
Ang buong mundo
Para hanapin
Para hanapin ka
Nilibot ang distrito
Ng iyong lumbay
Pupulutin, pupulutin ka

Sinusundo kita
Sinusundo

Asahan mong mula ngayon
Pag-ibig ko'y sayo
Asahan mong mula ngayon
Pag-ibig ko'y sayo

Sa akin mo isabit
Ang pangarap mo
Di kukulangin
Ang ibibigay
Isuko ang kaba
Tuluyan kang bumitaw
Ika'y manalig
Manalig ka

Sinusundo kita
Sinusundo

Asahan mong mula ngayon
Pag-ibig ko'y sayo
Asahan mong mula ngayon
Pag-ibig ko'y sayo

Asahan mong mula ngayon
Pag-ibig ko'y sayo
Asahan mong mula ngayon
Pag-ibig ko'y sayo
Pag-ibig ko'y sayo

(Asahan mong)
Handa na sa liwanag mo
Sinuyod ang buong mundo
Maghihintay sayo'ng sundo
(Asahan mong)
Handa na sa liwanag mo
Sinuyod ang buong mundo
Maghihintay sayo'ng sundo
",Moira Dela Torre
Tagpuan (Duet Version),"

'Di, 'di ko inakalang
Darating din sa akin
Nung ako'y nanalangin kay bathala
Naubusan ng bakit

Bakit umalis nang walang sabi?
Bakit 'di siya lumaban kahit konti?
Bakit 'di maitama ang tadhana?

At nakita kita sa tagpuan ni Bathala
May kinang sa mata na 'di maintindihan
Tumingin kung saan
Sinubukan mo'ng lumisan

At tumigil ang mundo
Nung ika'y nakita ko
Ikaw ang panalangin ko

At hindi, 'di mapaliwanag
Ang nangyari sa akin
Saksi ang lahat ng tala
Sa iyong panalangin

Pa'no nasagot lahat ng bakit?
'Di makapaniwala sa nangyari
Pa'no mo naitama ang tadhana?

Nung nakita kita sa tagpuan ni Bathala
May kinang sa mata na 'di maintindihan
Tumingin kung saan
Sinubukan kong lumisan

At tumigil ang mundo
Nung ako'y ituro mo

At hindi na lalayo
At hinding-hindi susuko
Oh nagbago ang mundo
Nung ako'y pinaglaban mo

At tumigil ang mundo
Nung ako'y pinili mo
Ikaw ang panalangin ko
",Moira Dela Torre
Under The Bathroom Sink,"

I've been thinking lately
If it would be better
If I just disappeared
If I wasn't right here

I've been thinking lately
Was it that hard to love me?
All I asked was to hold me
All you did was ignore me

Would your world be less of its burden
If I wasn't here to tire you out?
Would it hurt to ask you to listen
Or would you rather I keep my voice down?
I've just been thinking lately
Would you feel better if I wasn't around?

They think the world's at my feet
But I keep sinking underneath
Under the bathroom sink while you chose to sleep
And I left the thing without you was happy

Would your world be less of its burden
If I wasn't here to tire you out?
Would it hurt to ask you to listen
Or would you rather I keep my voice down?
I've just been thinking lately
Would you feel better if I wasn't around?
If I wasn't around

I pulled myself together
Though we could get better
But every time I tried, I found myself deep in the water
I thought you pulled me closer
But you left and held another
I stayed because you and I, we looked so good on paper
It's not worth it anymore
Five years alone on a bathroom floor

Would our world be less of its burden
If you weren't here to watch it burn down?
Would it hurt you if just a for a second
You thought of me before you chose to go out?
Now getting back on my feet
You can no longer haunt me
I've been just thinking lately
If wouldn't be better if you weren't around
",Moira Dela Torre
We Could Happen,"

I'll hold the door
Please come in
And just sit here for a while
This is my
Way of telling you I need you in my life
It's so cold
Without your touch
I've been dreaming way too much
Can we just
Turn this into reality

'Cause I've been
Thinking 'bout you lately
Maybe you could save me
From this crazy world we live in
And I know we could happen
'Cause you know that I've been feeling you

Storms they will come
But I know
That the sun will shine again
He's my friend
And he says that we belong together
And I'll sing a song
To break the ice
Just a smile from you would suffice
It's not me
Being nice girl this real tonight

'Cause I've been
Thinking 'bout you lately
Maybe you could save me
From this crazy world we live in
And I know we could happen
'Cause you know that I've been feeling you
I know you want me

There's no other
There's no other love
That I'd rather have
You know
There ain't no one
There ain't no one else
I want you for myself

I've been thinking 'bout you lately
Maybe you could save me
From this crazy world we live in
And I know we could happen
'Cause you know that I've been feeling you
I know you want me
I've been thinking 'bout you lately
Maybe you could save me
From this crazy world we live in
And I know we could happen
'Cause you know that I've been feeling you
I know you want me too
I know you want me too
Oh-ooh-ooh
Bap-da-da, bap-da-da
",Moira Dela Torre
Yakap,"

Sa dinami rami ng mga araw na
Hinihintay na makasama ka
Di maikubli ang sabik sa aking mata

At hawak ko'ng pangarap ko
Tuwing ika'y kapiling ko
Ngayong pasko, ika'y yayakapin ko

Sa piling mo lamang aking naramdaman
Pag-ibig na walang hanggan
Isang daang pagkakataon ang susulitin ko
Sa yakap mo ngayong pasko

Malamig daw ang simoy ng hangin at lalo pang nasabik
Nang naamoy ko na ang 'yong pagbalik
Maglalaho ang mga nasabi ngunit di ang napadama

Hinding-hindi magbabago
Na ikaw ang tanging regalo
Pasko, pasko, hanap ang yakap mo

Sa piling mo lamang aking naramdaman
Pag-ibig na walang hanggan
Isang daang pagkakataon ang susulitin ko
Sa yakap mo ngayong pasko

Pasko, pasko, pasko nanaman muli
Pasko, pasko, kayakap ka na ulit
Pasko, pasko, pasko nanaman muli
Pasko, pasko, kayakap ka na ulit

Sa piling mo lamang aking naramdaman
Pag-ibig na walang hanggan (Pasko, pasko, pasko nanaman muli)
Isang daang pagkakataon ang susulitin ko
Sa yakap mo ngayong pasko

Ikaw lang ang kailangan ko
Payakap naman ngayong pasko
Pasko, pasko, kayakap ka na muli
",Moira Dela Torre
You,"

Nobody knows, just why we're here
Could it be fate or random circumstance
At the right place, at the right time
Two roads intertwine

And if the universe conspired
To meld our lives, to make us, fuel and fire
Then know wherever you will be
So too, shall I'll be

Close your eyes, dry your tears
'Cause when nothing seems clear
You'll be safe here from the sheer weight
Of your doubts and fears
Weary heart, you'll be safe here

Remember how we laughed until we cried
At the most stupid things like
We were so high
But love was all that we were on
We belong

And though the world would never understand
This unlikely union and why it still stands
Someday, we will be set free
Pray and believe

Close your eyes, dry your tears
'Cause when nothing seems clear
You'll be safe here from the sheer weight
Of your doubts and fears
Weary heart, you'll be safe here

Save your eyes from your tears
When everything's unclear
You'll be safe here from the sheer weight
Of your doubts and fears, wounded heart
When the light disappears
And when this world's insincere
You'll be safe here
When nobody hears you scream
I'll scream with you, you'll be safe here
In my arms through the long cold night
Sleep tight, you'll be safe here
When no one understands
I'll believe, you'll be safe
You'll be safe here, you'll be safe, ooh ooh

Put your heart in my hands
You'll be safe here
",Moira Dela Torre
Your Universe,"

Tell me something
When the rain falls on my face
How do you quickly replace it with
A golden summer smile?

Tell me something
When I'm feelin' tired and afraid
How do you know just what to say
To make everything alright?

I don't think that you even realize
The joy you make me feel when I'm inside
Your universe
You hold me like I'm the one who's precious
I hate to break it to you but it's just
The other way around
You can thank your stars all you want but
I'll always be the lucky one

Tell me something
When I'm 'bout to lose control
How do you patiently hold my hand
And gently calm me down?

Tell me something
When you sing and when you laugh
Why do I always photograph
My heart flying way above the clouds?

I don't think that you even realize
The joy you make me feel when I'm inside
Your universe
You hold me like I'm the one who's precious
I hate to break it to you but it's just
The other way around
You can thank your stars all you want but
I'll always be the lucky one

Woahhh
Woahhh
Woahhh

I don't think that you even realize
The joy you make me feel when I'm inside
Your universe
You hold me like I'm the one who's precious
I hate to break it to you but it's just
The other way around
You can thank your stars all you want but
I'll always be the lucky one

You can thank your stars all you want but
I'll always be the lucky one
",Moira Dela Torre
Song,Lyrics,Singer
Lalala,"

O wag ka namang ganyan tumitig sa akin
Mahirap na baka mahulog ako ng tuluyan
Pagkat ngiti mo'y walang mapantayan

At wag mo ring subukang lumapit sa akin
Kasi alam ko na hindi ko masasabihan
Itong isip kong maraming takbuhan

Laaa la la la la la la
Kapag kasama ka'y
Di maiwasang mapakanta ng la la la
La la la la la la
La la la la la la
La la la la la la la la

At ang daming beses ko nang iniisip
Kung ako rin ba'y nasa iyong panaginip
O kay hirap, halo-halong pakiramdam

Laaa la la la la la la
Kapag kasama ka'y
Di maiwasang mapakanta ng laaa
La la la la la la
Kapag kasama ka'y
Di maiwasang mapakanta ng la la la
La la la la la la
La la la la la la
La la la la la la la la

Laaa la la la la la la
Kapag kasama ka'y
Di maiwasang mapakanta ng laaa
La la la la la la la
Kapag kasama ka'y
Di maiwasang mapakanta ng la la la
",Kisses Delavin
Alam Na This,"

Napahinto't napanganga
Sa lahat ng pwedeng panggalinganâ¦ sa'yo pa?!
Nakaabang baka sakaling ito'y iyong bawiin

Ngunit parang wala lang sa'yo lahat ng ating
Pinagdaanang pagmamahalan
'Di ko akalaing magagawa mong itapon
Ang tanging masasabi ko lang sa'yo ay

Alam na this, alam na this
Ano man ang mangyari 'di ka na mamimiss
Alam na this, alam na this
Ano man ang sabihin mo hindi na
Maniniwala sa'yo

Simula nang makilala ka akala ko ika'y ibang iba
Ngunit kay sakit namang malamang kagaya ka nila
Sa umpisa, akala ko lahat ay totoo
Pagdating sa dulo ay ugali'y kay gulo

Alam na this, alam na this
Ano man ang mangyari 'di ka na mamimiss
Alam na this, alam na this
Ano man ang sabihin mo hindi na
Maniniwala sa'yo

Sorry ka na lang, hindi ako katulad mo
Salamat din pala, natutunan ko nang magtiwala sa 'di tulad mo

Alam na this, alam na this
Ano man ang mangyari 'di ka na mamimiss
Alam na this, alam na this
Ano man ang sabihin mo hindi naâ¦

Alam na this, alam na this
Ano man ang mangyari 'di ka na mamimiss
Alam na this, alam na this
Ano man ang sabihin mo hindi na
Maniniwala sa'yo

Alam ko na this
Hindi na maniniwala sa'yo
Dahil alam na this
",Kisses Delavin
"Tulak Ng Bibig, Kabig Ng Dibdib","

Mahal pala kita
Ngayon ko lamang nadama
Kung kailan nawala saka
Hinanap ka aking sinta

Ganyan pala ang umiibig
Lagi ka nang nasasaisip
Lagi kitang naaalala
Sa bawa't saglit

Tulak ng bibig kabig ng dibdib
Ito'y kasabihang aking nabatid
Kung tuluyan mang ikaw ay mawala
Pikit-mata pa rin kita'y hihintayin

Sa âyong pagbabalik
Ibibigay ko ang langit
Wagas na pagsinta
Walang maliw na pag-ibig

Ganyan pala ang umiibig
Lagi ka nang nasasaisip
Lagi kitang naaalala
Sa bawa't saglit

Tulak ng bibig kabig ng dibdib
Ito'y kasabihang aking nabatid
Kung tuluyan mang ikaw ay mawala
Pikit-mata pa rin kita'y hihintayin

Tulak ng bibig, kabig ng dibdib
Kabig ng dibdib, tulak ng bibig
Tulak ng bibig, kabig ng dibdib
Kabig ng dibdib, tulak ng bibig
",Kisses Delavin
,"

'Di ko lang masabi
'Di ko lang masabi

Sadyang mahiyain ako
'Di mo man halata
Basta mapalingon sa'yo
Hindi ako makapagsalita
Lumalabas taglay na kulit ko sa iba
Pero kasi, basta kasi, iba ka

'Di ko lang masabi
'Di ko lang masabi sa iyo
'Di ako mapakali
Tuwing tumitingin sa mga mata mo
Kaya sana maintindihan
Kung yumuyuko na lang
Kapag kinakausap mo
'Di ko lang masabi na ikaw ang gusto ko

Siguro nakikita mo
Itsura ko na magulo
Sa kakaisip sa iyo
Tatlong gabi na kong walang tulog
Tinutukso pa ng mga kaibigan ko
Kailan nga ba magiging tayo

'Di ko lang masabi
'Di ko lang masabi sa iyo
'Di ako mapakali
Tuwing tumitingin sa mga mata mo
Kaya sana maintindihan
Kung yumuyuko na lang
Kapag kinakausap mo
'Di ko lang masabi na ikaw ang gusto ko

Paikot-ikot sa isip ko
Ako din kaya ang gusto mo
Kung aaminin ko sa iyo
Tiyak magbabago tayo

'Di ko lang masabi
'Di ko lang masabi sa iyo

'Di ko lang masabi
'Di ko lang masabi sa iyo
'Di ako mapakali
Tuwing tumitingin sa mga mata mo
Kaya sana maintindihan
Kung yumuyuko na lang
Kapag kinakausap mo
'Di ko lang masabi na ikaw ang gusto ko
'Di ko lang masabi na ikaw ang gusto ko

'Di ko lang masabi na ikaw ang gusto ko
",Kisses Delavin
Pretty Boy,"

Pretty boy binobola mo ba ako?
Sa dami-dami nang mayroong crush sa'yo
Ako pa talaga ang nagustuhan mo
O baka nilalaro mo ang feelings ko
Oh my pretty boy, hindi ako isang toy

Pretty boy kapag ako'y tinititigan mo
Halata ba na ako'y kinikilig sa'yo?
Kahit ganyan ang nararamdaman
Baka akala mo'y hindi ka na mahihirapan
Pati ang family ko, kailangan mong ligawan

Pretty boy pwede chill ka lang
Maaga pa, wag kang mag-alala
Na baka, ikaw ay maagawan pa

Pretty boy relaks ka lang muna
Hindi kita nalilimutan pa
Dahil pretty boy, gusto na rin kita

Pretty boy bakit parang nagseselos ka pa?
'Pag may kausap ako at kasamang iba
Sa gwapo mong yan natatakot ka pa
Basta ugali mong mabuti ang ipapakita
Oh my pretty boy, ikaw na ngang talaga

Pretty boy pwede chill ka lang
Maaga pa, wag kang mag-alala
Na baka, ikaw ay maagawan pa

Pretty boy relaks ka lang muna
Hindi kita nalilimutan pa
Dahil pretty boy, gusto na rin kita

Pretty boy pwede chill ka lang
Maaga pa, wag kang mag-alala
Na baka, ikaw ay maagawan pa

Pretty boy relaks ka lang muna
Hindi kita nalilimutan pa
Dahil pretty boy, gusto na rin kita

Gusto na rin kita...
Gusto na rin kita...
",Kisses Delavin
Song,Lyrics,Singer
Fall For Me,"

I remember the night when our eyes met
I felt it instantly
You were sitting there in front
And I was right behind

Our blank faces, awkward stares
I felt it perfectly
I could almost see
What this is all about

And I couldn't even speak
I felt it and
You got me so weak in the knees

You and me, could be
A perfect melody
If you could see, through me
I'd catch you if you fall

I'm falling in, too deep
I swear I'm yours to keep
And all I could do is to sit and watch
As you fall for me

I can't shake this feeling
But seeing is believing
A love worth fighting for
Just an attempt to land ashore

A picture perfect of scenery
Lines memorized so easily
A spark is waiting to happen
It's all up to you

And I couldn't even speak
I felt it and
You got me so weak in the knees

You and me, could be
A perfect melody
If you could see, through me
I'd catch you if you fall

I'm falling in, too deep
I swear I'm yours to keep
And all I could do is to sit and watch
As you fall for me

It's all I've been asking
It's all I've been trying so hard
For just a little bit of you and me
Of you and me

It's all I've been asking
It's all I've been trying

You and me, could be
A perfect melody
If you could see, through me
I'd catch you if you fall

I'm falling in, too deep
I swear I'm yours to keep
And all I could do is to sit and watch
As you fall for me

You and me, could be
A perfect melody
If you could see, through me
I'd catch you if you fall

I'm falling in, too deep
I swear I'm yours to keep
And all I could do is to sit and watch
As you fall for me
",Kyle Echarri
Anything,"

Sunday morning light
I can see your face upon the pillow
It's getting late outside
I don't wanna go, let's just take it slow
Is this what it's like to feel like falling
Cause there's a world outside

But I don't care 'bout
Anything but you and me
And all the things that we could be
And I don't know much about where I'll be
Cause I don't care about anything, about anything but you and me

Your my one way flight
To a place I've only been while sleeping
A stellar paradise, we won't need a mask
If you breathe with me
Under a sky of diamonds falling
Lost in the lights and I don't care

About anything but you and me
And all the things that we could be
And I don't know much about where I'll be
Cause I don't care about anything, about anything but you and me

You and me
I don't care 'bout anything, 'bout anything
But I don't care 'bout anything
I don't care 'bout anything but you and me

And all the things that we could be
And I don't know much about where I'll be
Cause I don't care about anything, about anything but you and me
You and me
You and me
",Kyle Echarri
Our Moment,"

Feeling lonely in the crowd
Am I not the way I ought to be
What's important to me now
Can I live the way that I believe

Don't know what we're doing
But we keep it moving
Sometimes life's confusing
That's just the way it is
Feeling isolated
But it's time to change it
Just be the way that you are

It's our moment to shine
Leave your troubles behind
It's our moment
Show the world we don't hide
Who we are deep inside
It's our moment
It's our moment to shine
Leave your troubles behind
It's our moment
Show the world we don't hide
Who we are deep inside
It's our moment

It's our moment

We don't make up who we are
We uncover who were meant to be
Think of what you've been so far
Take it to it's possibilities
Don't know what we're doing
But we keep moving
Sometimes life's confusing
That's just the way it is
Feeling isolated
But it's time to change it
Just be the way that you are

It's our moment to shine
Leave your troubles behind
It's our moment
Show the world we don't hide
Who we are deep inside
It's our moment
It's our moment to shine
Leave your troubles behind
It's our moment
Show the world we don't hide
Who we are deep inside
It's our moment

It's our moment

It's our moment to shine
It's our moment
It's our moment to shine
It's our moment

It's our moment to shine
Leave your troubles behind
It's our moment
Show the world we don't hide
Who we are deep inside
It's our moment

It's our moment to shine
Leave your troubles behind
It's our moment
It's are moment right now
Show the world we don't hide
Who we are deep inside
It's our moment
",Kyle Echarri
